name,city,iata_code,icao,latitude,longitude,url,city_code,country,state,county
Goulburn,Goulburn,GUL,YGLB,-34.75,149.71666,,GUL,AU,New South Wales,Goulburn Mulwaree
A.B. Won Pat International Airport,Tamuning-Tumon-Harmon Village,GUM,PGUM,13.492787,144.80486,http://www.guamairport.com/,GUM,GU,Tamuning,
Gunter AFB,,GUN,,32.38333,-86.316666,,MGM,US,,
Gualaco,Gualaco,GUO,MHJI,15.116667,-86.13333,,GUO,HN,Olancho,
Senator Clark,Gallup,GUP,KGUP,35.511112,-108.78667,,GUP,US,New Mexico,McKinley County
Guanare,Guanare,GUQ,SVGU,9.02806755,-69.75436356069964,,GUQ,VE,Portuguesa,Municipio Guanare
Gurney Airport,,GUR,AYGN,-10.3106417,150.33596193255727,,GUR,PG,,
Grissom AFB,Peru,GUS,KGUS,40.75,-86.066666,http://www.grissom.afrc.af.mil/,GUS,US,Indiana,Miami County
Guetersloh,,GUT,ETUO,51.9,8.383333,,GUT,DE,,
Grundarfjordur,,GUU,BIGF,64.9944471,-23.218415679889333,,GUU,IS,,
Mougulu,,GUV,AYML,-6.2800839,142.42062700877923,,GUV,PG,,
Atyrau Airport,Atyrau,GUW,UATG,47.12124025,51.8232747235264,,GUW,KZ,Atyrau,
Guna,Guna,GUX,VAGN,24.666668,77.316666,,GUX,IN,Madhya Pradesh,Guna
Guymon,Guymon,GUY,KGUY,36.68606775,-101.50770533358747,http://www.guymonok.org/index.aspx?NID=179,GUY,US,Oklahoma,Texas County
Guarapari,Guarapari,GUZ,SNGA,-20.6469745,-40.49178638456354,,QDL,BR,Espirito Santo,Guarapari
